id,age,sex,bmi,site,program,baseline,math_score,event
1,58.0,1,23.7,3,standard,30.4,31.5,0
2,44.0,1,22.6,1,standard,40.8,66.9,1
3,39.0,1,29.5,1,tutoring,52.9,90.2,1
4,42.0,0,22.0,1,tutoring,89.8,69.0,1
5,52.0,1,29.3,4,tutoring,55.8,49.4,1
6,44.0,0,18.6,2,tutoring,71.0,66.0,1
7,47.0,0,28.6,3,standard,59.9,,0
8,46.0,1,23.2,3,standard,72.6,54.7,0
9,30.0,0,25.4,1,standard,65.6,59.3,0
10,60.0,1,,1,tutoring,54.4,126.2484278624874,0
11,69.0,1,25.7,2,standard,58.7,60.2,1
12,35.0,1,,3,tutoring,57.1,,1
13,31.0,0,,1,standard,65.0,44.9,0
14,36.0,0,28.1,3,tutoring,45.4,54.7,0
15,28.0,1,,1,standard,64.3,82.2,1
16,68.0,1,21.9,2,standard,64.6,78.8,1
17,50.0,1,29.5,4,standard,71.5,60.3,1
18,24.0,1,23.6,3,standard,56.9,56.6,0
19,50.0,1,32.7,1,tutoring,63.4,75.3,0
20,67.0,1,20.0,4,tutoring,57.6,,1
21,44.0,0,20.4,4,tutoring,71.9,,0
22,61.0,0,,2,tutoring,66.2,58.5,1
23,40.0,0,26.0,3,tutoring,59.6,77.1,0
24,45.0,0,31.1,2,tutoring,63.2,79.0,0
25,17.0,1,23.4,3,tutoring,39.7,43.2,0
26,53.0,1,,4,standard,53.8,6.453226689166684,0
27,31.0,0,26.2,2,standard,42.3,52.0,0
28,34.0,1,29.6,3,standard,63.3,,0
29,46.0,1,22.0,4,tutoring,83.2,70.1,0
30,88.0,0,27.8,3,standard,52.2,73.3,0
31,52.0,1,33.2,1,standard,60.9,61.3,0
32,39.0,0,22.7,3,standard,68.7,59.6,0
33,50.0,0,28.1,1,standard,60.0,42.2,1
34,66.0,1,32.8,1,tutoring,61.0,63.3,1
35,31.0,1,22.1,3,standard,60.2,43.0,1
36,36.0,0,30.0,2,standard,63.9,67.0,0
37,31.0,0,27.5,1,standard,79.3,59.1,0
38,38.0,1,27.1,2,tutoring,58.7,64.2,1
39,33.0,1,23.2,1,tutoring,39.5,65.5,0
40,84.0,0,29.6,4,standard,44.9,61.7,1
41,71.0,1,20.8,1,tutoring,73.8,74.8,1
42,44.0,1,26.5,4,tutoring,61.7,81.4,0
43,52.0,1,24.1,1,tutoring,60.4,43.8,1
44,35.0,1,30.2,2,standard,74.5,64.5,0
45,21.0,1,23.1,4,tutoring,72.5,76.5,1
46,30.0,1,21.5,2,tutoring,55.3,62.4,1
47,67.0,1,27.2,4,standard,68.0,72.2,0
48,26.0,1,31.1,1,tutoring,66.4,,0
49,47.0,1,27.5,4,standard,62.2,,0
50,46.0,0,23.3,1,tutoring,54.2,64.4,1
51,35.0,1,28.9,2,standard,62.6,62.2,1
52,56.0,0,22.5,3,standard,54.6,68.2,0
53,50.0,0,29.8,4,standard,41.4,52.5,1
54,58.0,1,22.7,1,standard,47.3,55.6,1
55,45.0,0,26.8,2,standard,67.7,81.1,1
56,47.0,0,28.6,1,standard,62.3,52.8,1
57,19.0,0,25.4,1,standard,61.9,52.8,0
58,17.0,1,14.5,3,standard,55.7,73.6,0
59,39.0,0,22.3,1,tutoring,70.8,72.2,1
60,53.0,0,26.4,1,tutoring,60.3,79.9,0
61,53.0,1,26.2,1,standard,73.8,91.8,1
62,38.0,1,27.9,1,standard,59.8,58.0,1
63,42.0,0,19.4,2,standard,54.9,49.0,0
64,49.0,0,26.2,2,tutoring,77.9,77.4,1
65,36.0,1,23.9,1,tutoring,80.4,88.9,0
66,27.0,0,26.4,4,tutoring,85.1,89.4,1
67,27.0,1,30.4,1,standard,48.1,47.4,1
68,30.0,0,23.9,3,standard,63.4,67.0,1
69,48.0,1,29.5,2,tutoring,80.4,76.6,0
70,37.0,1,23.4,2,standard,53.4,,1
71,37.0,0,23.3,1,standard,53.3,,1
72,20.0,1,22.5,3,standard,53.0,59.1,1
73,28.0,1,20.9,4,tutoring,56.1,46.1,0
74,41.0,0,32.3,4,tutoring,44.1,50.4,1
75,47.0,1,24.8,1,tutoring,69.0,72.8,0
76,31.0,1,19.9,3,tutoring,71.8,77.0,1
